Proposal ID,Investigator1,Investigator2
GRT00028672,"Sadayappan, P","McNamara, Jack Joseph"
GRT00028674,"Samimy, Mohammad","Adamovich, Igor Vladimirovic"
GRT00028674,"Samimy, Mohammad","Gaitonde, Datta V"
GRT00028674,"Samimy, Mohammad","Lempert, Walter R"
GRT00028674,"Adamovich, Igor Vladimirovic","Gaitonde, Datta V"
GRT00028674,"Adamovich, Igor Vladimirovic","Lempert, Walter R"
GRT00028674,"Gaitonde, Datta V","Lempert, Walter R"
GRT00028675,"Shen, Han-Wei","Chen, Jen-Ping"
GRT00028676,"Machiraju, Raghu","Huang, Kun"
GRT00028679,"Brodsky, Sergey","Fernandez, Soledad A"
GRT00028679,"Brodsky, Sergey","Nadasdy, Tibor"
GRT00028679,"Brodsky, Sergey","Rovin, Brad Harris"
GRT00028679,"Fernandez, Soledad A","Nadasdy, Tibor"
GRT00028679,"Fernandez, Soledad A","Rovin, Brad Harris"
GRT00028679,"Nadasdy, Tibor","Rovin, Brad Harris"
GRT00028681,"Biesiadecki, Brandon J.","Davis, Jonathan Paul"
GRT00028681,"Biesiadecki, Brandon J.","Janssen, Paul M"
GRT00028681,"Biesiadecki, Brandon J.","Ziolo, Mark T"
GRT00028681,"Davis, Jonathan Paul","Janssen, Paul M"
GRT00028681,"Davis, Jonathan Paul","Ziolo, Mark T"
GRT00028681,"Janssen, Paul M","Ziolo, Mark T"
GRT00028682,"Sheridan, John Francis","Bailey, Michael T"
GRT00028682,"Sheridan, John Francis","Godbout, Jonathan Philip"
GRT00028682,"Sheridan, John Francis","Quan, Ning"
GRT00028682,"Bailey, Michael T","Godbout, Jonathan Philip"
GRT00028682,"Bailey, Michael T","Quan, Ning"
GRT00028682,"Godbout, Jonathan Philip","Quan, Ning"
GRT00028683,"Volakis, John Leonidas","Case-Smith, Jane D"
GRT00028683,"Volakis, John Leonidas","Siston, Robert Anthony"
GRT00028683,"Case-Smith, Jane D","Siston, Robert Anthony"
GRT00028685,"Knoell, Daren Lee","Li, Chenglong"
GRT00028687,"Li, Weidong","Goodway, Jacqueline Dawn"
GRT00028687,"Li, Weidong","Lu, Zhong-Lin"
GRT00028687,"Goodway, Jacqueline Dawn","Lu, Zhong-Lin"
GRT00028689,"Miller, Carla K","Miser, William Frederick"
GRT00028689,"Miller, Carla K","Wills, Celia Emily"
GRT00028689,"Miser, William Frederick","Wills, Celia Emily"
GRT00028692,"Gumina, Richard J","Popovich, Phillip Gordon"
GRT00028693,"Wozniak, Daniel John","Torrelles, Jordi B."
GRT00028694,"Zou, Xianghong","Bai, Xue-Feng"
