Proposal ID,Name,PI
GRT00028745,"Johnson, Joel Tidmore",1
GRT00028746,"Sertel, Kubilay",1
GRT00028747,"Sertel, Kubilay",1
GRT00028748,"Sertel, Kubilay",1
GRT00028749,"Sertel, Kubilay",1
GRT00028750,"Reano, Ronald M.",1
GRT00028751,"Ezeji, Thaddeus Chukwuemeka",1
GRT00028752,"Lee, Teh-Hong",1
GRT00028753,"Gupta, Jay A",1
GRT00028754,"Hasan, Ayesha Khalid",1
GRT00028755,"Buettner, Cynthia",1
GRT00028756,"Benson, Betsey Ann",1
GRT00028757,"Smith-Shank, Deborah Lee",1
GRT00028758,"Strayhorn, Terrell Lamont",1
GRT00028759,"Ding, Lin",1
GRT00028760,"Gilor, Chen",1
GRT00028761,"Gilor, Chen",1
GRT00028762,"Jordan, Lisa Ann",1
GRT00028763,"Aarnes, Turi Kenna",1
GRT00028764,"Waldman, W James",1
GRT00028765,"Gardiner, Mary Margaret",1
GRT00028766,"Kolipaka, Arunark",1
GRT00028767,"Kaumaya, Pravin T P",1
GRT00028768,"Mykytyn, Kirk A.",1
GRT00028769,"Weil, Zachary M",1
GRT00028770,"Lin, Chien-Liang Glenn",1
GRT00028771,"Amer, Amal",1
GRT00028772,"Huang, Wei",1
GRT00028773,"Sood, Namita",1
GRT00028774,"Mittapalli, Omprakash",1
GRT00028775,"Hahn, Peter L",1
GRT00028776,"Roberts, Matthew Christopher",1
GRT00028777,"Sohngen, Brent Laboiteaux",1
GRT00028778,"Parvin, Jeffrey",1
GRT00028779,"Campbell-Kibler, Kathryn",1
GRT00028780,"Schmitt, Laura Clare",1
GRT00028781,"Buffington, Charles Anthony",1
GRT00028782,"Ranbom, Lorin D",1
GRT00028783,"Ranbom, Lorin D",1
GRT00028784,"Mohler, Peter John",1
GRT00028785,"Xia, Yong",1
GRT00028786,"Zweier, Jay Louis",1
GRT00028787,"Khramtsov, Valery V",1
GRT00028788,"Crane, Dushka Aida",1
GRT00028789,"Alevriadou, Barbara Rita",1
GRT00028790,"He, Guanglong",1
GRT00028791,"Liu, Zhenguo",1
GRT00028792,"Mohler, Peter John",1
GRT00028793,"Maiseyeu, Andrei",1
GRT00028794,"Kalyanasundaram, Anuradha",1
GRT00028795,"Ying, Zhekang",1
GRT00028796,"Ranbom, Lorin D",1
GRT00028797,"Ying, Zhekang",1
GRT00028798,"Melvin, William Scott",1
GRT00028799,"Dungan, Kathleen Marie",1
GRT00028800,"Bal, Naresh Chandra",1
GRT00028801,"Toribio, Ramiro Eliseo",1
GRT00028802,"Mangel, Stuart C.",1
GRT00028803,"Khramtsov, Valery V",1
GRT00028804,"Maiseyeu, Andrei",1
GRT00028805,"Liu, Bin",1
GRT00028806,"Hamilton, Ian M",1
GRT00028807,"Lou, Qing",1
GRT00028808,"Boudoulas, Konstantinos Dean",1
GRT00028809,"Brunello, Lucia",1
GRT00028810,"Denlinger, David Landis",1
GRT00028811,"Yoon, Sung Ok",1
GRT00028812,"Delfin, Dawn Athelsia",1
GRT00028813,"Saini, Uksha",1
GRT00028814,"Varadharaj, Saradhadevi",1
GRT00028815,"Ardoin, Stacy Payne",1
GRT00028816,"Herms, Daniel A",1
GRT00028817,"Li, Guoqiang",1
GRT00028818,"Sadee, Wolfgang",1
GRT00028819,"Chou, Ching-Shan",1
GRT00028820,"Hill, Amy Lynn",1
GRT00028821,"Castravet, Ana-Maria",1
GRT00028822,"Costin, Rodica D",1
GRT00028823,"Apsley, David K",1
GRT00028824,"Williams, Valarie Lucille",1
GRT00028825,"Pancholi, Preeti",1
GRT00028826,"Wesolowski, Robert",1
GRT00028827,"Daly, Marymegan",1
GRT00028828,"Bauer, James Edward",1
GRT00028829,"Ho, Tin-Lun",1
GRT00028831,"Ford, Jodi L",1
GRT00028832,"Obrietan, Karl H",1
GRT00028833,"McDougle, Leon",1
GRT00028834,"Boudoulas, Konstantinos Dean",1
GRT00028835,"Wesolowski, Robert",1
GRT00028836,"Zhong, Jixin",1
GRT00028837,"Arnold, L Eugene",1
GRT00028838,"Ellis, Thomas James",1
GRT00028839,"Go, Michael R",1
GRT00028840,"Guo, Deliang",1
GRT00028841,"Kirschner, Lawrence S.",1
GRT00028842,"Macrae, Erin R",1
GRT00028843,"Sertel, Kubilay",1
GRT00028844,"Chan, Michael Kenneth",1
GRT00028845,"Cole, David Robert",1
GRT00028846,"Cole, David Robert",1
GRT00028847,"Suo, Zucai",1
GRT00028848,"Lower, Steven K",1
GRT00028849,"Kudryashov, Dmitri S",1
GRT00028850,"Mattson, Anita Elaine",1
GRT00028851,"Olesik, Susan Virginia",1
GRT00028852,"Ruiz, Roberta Jeanne",1
GRT00028853,"Denning, Richard Smith",1
GRT00028854,"Sun, Xiaodong",1
GRT00028855,"Guezennec, Yann Guillaume",1
GRT00028856,"Taylor, Nancy J",1
GRT00028857,"Bons, Jeffrey Peter",1
GRT00028858,"Loux, Mark Monroe",1
GRT00028859,"Wiet, Gregory James",1
GRT00028860,"Haas, Garrie Joseph",1
GRT00028861,"Kolipaka, Arunark",1
GRT00028862,"Davis, Ian C",1
GRT00028863,"Mohler, Peter John",1
GRT00028864,"Ayers, Leona W",1
GRT00028865,"Loux, Mark Monroe",1
GRT00028866,"Butalia, Tarunjit Singh",1
GRT00028867,"Gregory, James W",1
GRT00028868,"Bohrer, Gil",1
GRT00028869,"Zhao, Yi",1
GRT00028870,"Bons, Jeffrey Peter",1
GRT00028871,"Leite, Fabio P",1
GRT00028872,"O'Malley, David M",1
GRT00028873,"Ozguner, Fusun",1
GRT00028874,"Castro, Carlos Ernesto",1
