Name,Last Name,First Name,Byrd,SI - Climate,Flagged - Climate + Energy,Operating Unit,Title,Flagged - Other,Award ID,Award Title,Awd PI,Co-I,Department Prop,Awd Dept,Award Alloc,College,Sponsor Name Prop,Fed/Non,Awd Spnsr,Awd Spnsr Level,Awd Spnsr Type,Prime Spnsr,Prime Spnsr Level,Prime Spnsr Type,Total Amt,Start Date,End Date,Discovery Theme,Award FY,Award Type,Reference,Ref Awd Num,CFDA
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00040367,The influence of the prey physiological stress response on predator-prey interactions,"Ludsin,Stuart A","Fraker, Michael Edward","Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,Univ of Michigan,Non,Univ of Michigan,OTHR,COLL,NSF Integrative Organismal Biology,FED,NSF,"371,089.00",07/15/2016,06/30/2020,Disc Theme- Energy Environ,2017,GR,3004090976,3004090976,47.074
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00042416,Western Lake Erie Basin conservation effects assessment project,"Ludsin,Stuart A",,"Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,The Nature Conservancy,Non,The Nature Conservancy,OTHR,PRVT,Natural Resources Conservation Service,FED,USDA,"15,000.00",02/01/2016,07/15/2016,Disc Theme- Energy Environ; Disc Theme-Transl Data Analyt,2016,CP,OSU Sasson 07/16-01,OSU Sasson 07/16-01,10.902
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00042639,Fish Management in Ohio,"Ludsin,Stuart A","Marschall, Elizabeth Ann","Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,OH Division of Wildlife,Non,OH Division of Wildlife,OHIO,OHIO,US Fish and Wildlife Service,FED,DOIN,"1,500,000.00",07/01/2016,06/30/2017,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec; Disc Theme-Transl Data Analyt,2016,GR,Agreement dated 06/08/2016,Agreement dated 06/08/2016,15.605
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00042979,Zooplankton community dynamics in the Niagara River,"Ludsin,Stuart A",,"Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,Buffalo State College,Non,Buffalo State College,OTHR,COLL,Niagara River Greenway Commission,OTHR,GOVT,"3,700.00",02/18/2016,04/29/2016,Disc Theme- Energy Environ,2016,GR,66166,66166,
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00043313,Physical processes and fish recruitment in large lakes: Phase II,"Ludsin,Stuart A",,"Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,Great Lakes Fishery Comsn,Non,Great Lakes Fishery Comsn,OTHR,PRVT,,,,"206,250.00",06/01/2016,05/31/2020,Disc Theme- Energy Environ,2016,CON,2010_Lud_44010,2010_Lud_44010,
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00046901,Fish management in Ohio,"Ludsin,Stuart A","Marschall, Elizabeth Ann","Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,OH Division of Wildlife,Non,OH Division of Wildlife,OHIO,OHIO,US Fish and Wildlife Service,FED,DOIN,"1,500,000.00",07/01/2017,06/30/2018,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec; Disc Theme-Transl Data Analyt,2017,GR,Agreement dated 05/30/2017,Agreement dated 05/30/2017,15.605
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00051070,Fish Management in Ohio,"Ludsin,Stuart A",,"Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,OH Division of Wildlife,Non,OH Division of Wildlife,OHIO,OHIO,US Fish and Wildlife Service,FED,DOIN,"1,500,000.00",07/01/2018,06/30/2019,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec; Disc Theme-Transl Data Analyt,2018,GR,Agreement dated 06/06/2018,Agreement dated 06/06/2018,15.605
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00051756,Moving Toward Ecosystem-Based Fisheries Management: Developing an integrated ecosystem assessment of Lake Erie as a case study,"Ludsin,Stuart A","Hood, James","Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,Great Lakes Fishery Comsn,Non,Great Lakes Fishery Comsn,OTHR,PRVT,,,,"136,581.74",01/01/2019,12/31/2020,Disc Theme- None Selected,2019,CON,2019_FRA_440800,2019_FRA_440800,
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00054578,Fish management in Ohio,"Ludsin,Stuart A",,"Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,OH Division of Wildlife,Non,OH Division of Wildlife,OHIO,OHIO,US Fish and Wildlife Service,FED,DOIN,"1,500,000.00",07/01/2019,06/30/2020,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec; Disc Theme-Transl Data Analyt,2019,GR,Agreement dated 06/18/2019,Agreement dated 06/18/2019,15.605
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00056366,HAB and hypoxia impacts on Lake Erie food webs and fisheries,"Ludsin,Stuart A","Hood, James",Translational Data Analytics,"Evol, Ecology & Org Biology",25.00,Arts and Sciences,Lake Erie Comsn,Non,Lake Erie Comsn,OHIO,OHIO,,,,"49,924.00",08/23/2019,12/31/2020,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec; Disc Theme-Transl Data Analyt,2020,GR,SG 561-2019,SG 561-2019,
